iter	Passed	Remaining
0	0	869
1	1	795
2	2	712
3	2	694
4	3	679
5	4	667
6	4	668
7	5	667
8	6	670
9	6	666
10	7	659
11	7	657
12	8	653
13	9	647
14	9	647
15	10	643
16	11	639
17	11	634
18	12	634
19	12	634
20	13	632
21	14	632
22	14	627
23	15	626
24	16	624
25	16	624
26	17	623
27	17	623
28	18	623
29	19	622
30	19	619
31	20	618
32	21	617
33	21	617
34	22	616
35	23	617
36	23	617
37	24	617
38	25	617
39	25	615
40	26	610
41	26	609
42	27	608
43	27	607
44	28	607
45	29	606
46	29	607
47	30	606
48	31	605
49	31	604
50	32	604
51	33	604
52	33	602
53	34	603
54	35	602
55	35	602
56	36	602
57	37	602
58	37	601
59	38	602
60	39	601
61	39	599
62	40	597
63	40	595
64	41	593
65	41	591
66	42	591
67	43	590
68	43	590
69	44	589
70	45	588
71	45	587
72	46	586
73	46	586
74	47	585
75	48	585
76	48	585
77	49	584
78	50	585
79	50	585
80	51	585
81	52	586
82	52	582
83	53	581
84	53	581
85	54	581
86	55	580
87	55	579
88	56	579
89	57	576
90	57	574
91	58	573
92	58	571
93	59	570
94	59	569
95	60	569
96	60	567
97	61	565
98	62	564
99	62	564
100	63	563
101	63	562
102	64	562
103	65	562
104	65	562
105	66	561
106	67	560
107	67	560
108	68	560
109	69	558
110	69	557
111	70	557
112	70	556
113	71	555
114	72	554
115	72	554
116	73	553
117	73	553
118	74	552
119	75	552
120	75	551
121	76	549
122	76	548
123	78	552
124	79	553
125	79	554
126	80	553
127	81	554
128	82	553
129	82	553
130	83	553
131	84	553
132	84	552
133	85	552
134	86	552
135	86	551
136	87	552
137	88	552
138	89	552
139	89	551
140	90	551
141	90	549
142	91	549
143	92	549
144	93	548
145	93	547
146	94	547
147	95	547
148	95	547
149	96	546
150	97	545
151	97	545
152	98	545
153	99	545
154	99	544
155	100	544
156	101	544
157	102	544
158	102	544
159	103	544
160	104	542
161	104	543
162	105	543
163	106	542
164	107	542
165	107	541
166	108	541
167	109	541
168	110	541
169	110	540
170	111	540
171	112	540
172	112	539
173	113	539
174	114	538
175	114	538
176	115	537
177	116	536
178	116	536
179	117	535
180	118	534
181	118	534
182	119	533
183	120	532
184	120	531
185	121	530
186	121	529
187	122	529
188	123	529
189	123	528
190	124	527
191	125	526
192	125	525
193	126	524
194	127	524
195	127	523
196	128	522
197	128	522
198	129	522
199	130	521
200	131	521
201	131	520
202	132	520
203	133	519
204	133	518
205	134	518
206	135	517
207	135	516
208	136	516
209	137	515
210	137	515
211	138	514
212	138	513
213	139	512
214	140	511
215	140	510
216	141	509
217	141	508
218	142	507
219	143	507
220	143	506
221	144	505
222	144	504
223	145	503
224	146	503
225	146	502
226	147	502
227	148	501
228	148	500
229	149	500
230	150	499
231	150	499
232	151	498
233	151	497
234	152	496
235	153	495
236	153	495
237	154	494
238	155	493
239	155	493
240	156	492
241	157	492
242	157	490
243	158	490
244	158	489
245	159	488
246	159	487
247	160	486
248	161	485
249	161	485
250	162	484
251	163	483
252	163	483
253	164	482
254	165	482
255	165	481
256	166	480
257	166	480
258	167	479
259	168	478
260	168	478
261	169	477
262	169	476
263	170	475
264	171	474
265	171	473
266	172	473
267	172	472
268	173	471
269	174	470
270	174	469
271	175	469
272	176	468
273	176	467
274	177	467
275	177	466
276	178	466
277	179	465
278	179	464
279	180	464
280	181	463
281	181	462
282	182	462
283	182	461
284	183	460
285	184	459
286	184	459
287	185	458
288	186	458
289	186	457
290	187	457
291	188	456
292	188	455
293	189	455
294	190	454
295	190	454
296	192	454
297	192	453
298	193	453
299	193	452
300	194	452
301	195	451
302	195	450
303	196	450
304	197	449
305	197	448
306	198	447
307	199	447
308	199	446
309	200	445
310	201	445
311	201	444
312	202	444
313	203	443
314	203	442
315	204	441
316	204	441
317	205	440
318	205	439
319	206	439
320	207	438
321	207	437
322	208	436
323	208	436
324	209	435
325	210	435
326	211	434
327	211	433
328	212	433
329	212	432
330	213	431
331	214	430
332	214	430
333	215	429
334	216	429
335	216	428
336	217	428
337	218	427
338	218	426
339	219	425
340	220	425
341	221	425
342	221	424
343	222	424
344	222	423
345	223	422
346	224	421
347	224	421
348	225	420
349	226	419
350	226	419
351	227	418
352	227	417
353	228	417
354	229	416
355	230	416
356	230	415
357	231	414
358	231	414
359	232	413
360	233	412
361	233	411
362	234	411
363	234	410
364	235	409
365	236	409
366	237	408
367	237	408
368	238	408
369	239	407
370	240	407
371	240	406
372	241	406
373	242	405
374	243	405
375	243	404
376	244	404
377	245	404
378	246	403
379	247	403
380	248	403
381	248	402
382	249	402
383	250	401
384	251	401
385	251	400
386	252	399
387	253	399
388	253	398
389	254	397
390	254	397
391	255	396
392	256	395
393	256	394
394	257	393
395	257	393
396	258	392
397	259	391
398	259	391
399	260	390
400	261	390
401	262	390
402	262	389
403	263	389
404	264	388
405	265	387
406	265	387
407	266	386
408	267	386
409	268	385
410	268	385
411	269	384
412	270	384
413	270	383
414	271	382
415	272	382
416	273	381
417	273	381
418	274	380
419	275	379
420	275	379
421	276	378
422	276	377
423	277	376
424	278	376
425	278	375
426	279	374
427	279	373
428	280	373
429	281	373
430	282	372
431	282	372
432	283	371
433	284	370
434	284	369
435	285	369
436	286	368
437	286	368
438	287	367
439	287	366
440	288	365
441	289	365
442	290	364
443	290	364
444	291	363
445	291	362
446	292	362
447	293	361
448	293	360
449	294	360
450	295	359
451	296	359
452	296	358
453	297	358
454	298	357
455	299	356
456	299	356
457	300	355
458	300	354
459	301	354
460	302	353
461	302	352
462	303	352
463	304	351
464	304	350
465	305	349
466	305	348
467	306	348
468	306	347
469	307	346
470	308	345
471	308	345
472	309	344
473	309	343
474	310	343
475	311	342
476	312	342
477	312	341
478	313	341
479	314	340
480	314	339
481	315	339
482	316	338
483	317	338
484	317	337
485	318	336
486	319	336
487	319	335
488	320	334
489	321	334
490	321	333
491	322	332
492	322	331
493	323	331
494	323	330
495	324	329
496	325	329
497	326	328
498	326	328
499	327	327
500	328	326
501	328	326
502	329	325
503	330	324
504	330	324
505	331	323
506	332	323
507	332	322
508	333	321
509	334	320
510	334	320
511	335	319
512	335	318
513	336	317
514	336	317
515	337	316
516	337	315
517	338	315
518	339	314
519	339	313
520	340	313
521	341	312
522	342	312
523	342	311
524	343	310
525	344	310
526	344	309
527	345	309
528	346	308
529	346	307
530	347	306
531	348	306
532	348	305
533	349	304
534	350	304
535	350	303
536	351	302
537	351	302
538	352	301
539	353	300
540	353	300
541	354	299
542	354	298
543	355	298
544	356	297
545	357	297
546	358	296
547	358	295
548	359	295
549	360	294
550	360	294
551	361	293
552	362	292
553	362	292
554	363	291
555	364	290
556	364	290
557	365	289
558	366	288
559	366	288
560	367	287
561	368	286
562	368	286
563	369	285
564	369	284
565	370	284
566	371	283
567	372	282
568	372	282
569	373	281
570	374	281
571	374	280
572	375	279
573	376	279
574	377	278
575	377	277
576	378	277
577	378	276
578	379	275
579	380	275
580	380	274
581	381	273
582	381	273
583	382	272
584	383	271
585	383	271
586	384	270
587	384	269
588	385	269
589	386	268
590	387	268
591	388	267
592	388	266
593	389	266
594	390	265
595	390	264
596	391	264
597	392	263
598	392	263
599	393	262
600	394	261
601	395	261
602	395	260
603	396	259
604	396	259
605	397	258
606	398	257
607	398	257
608	399	256
609	399	255
610	400	254
611	401	254
612	402	253
613	402	253
614	403	252
615	404	251
616	404	251
617	405	250
618	405	249
619	406	249
620	407	248
621	408	247
622	408	247
623	409	246
624	409	245
625	410	245
626	411	244
627	411	243
628	412	243
629	412	242
630	413	241
631	414	241
632	414	240
633	415	239
634	416	239
635	417	238
636	417	238
637	418	237
638	419	236
639	419	236
640	420	235
641	421	234
642	422	234
643	422	233
644	423	232
645	423	232
646	424	231
647	425	230
648	425	230
649	426	229
650	427	228
651	427	228
652	428	227
653	428	226
654	429	226
655	430	225
656	430	224
657	431	224
658	431	223
659	432	222
660	433	222
661	433	221
662	434	220
663	435	220
664	435	219
665	436	218
666	436	218
667	437	217
668	438	216
669	438	216
670	439	215
671	439	214
672	440	214
673	441	213
674	441	212
675	442	211
676	442	211
677	443	210
678	443	209
679	444	209
680	444	208
681	445	207
682	446	207
683	446	206
684	447	205
685	447	204
686	448	204
687	449	203
688	450	203
689	450	202
690	451	201
691	452	201
692	452	200
693	453	199
694	454	199
695	454	198
696	455	197
697	455	197
698	456	196
699	457	195
700	457	195
701	458	194
702	458	193
703	459	193
704	459	192
705	460	191
706	461	191
707	461	190
708	462	189
709	462	189
710	463	188
711	464	187
712	464	187
713	465	186
714	466	185
715	466	185
716	467	184
717	468	184
718	469	183
719	469	182
720	470	182
721	471	181
722	471	180
723	472	180
724	473	179
725	474	178
726	475	178
727	475	177
728	476	177
729	477	176
730	478	176
731	479	175
732	479	174
733	480	174
734	481	173
735	481	172
736	482	172
737	483	171
738	483	170
739	484	170
740	485	169
741	485	168
742	486	168
743	487	167
744	487	166
745	488	166
746	489	165
747	489	164
748	490	164
749	490	163
750	491	162
751	491	162
752	492	161
753	493	160
754	493	160
755	494	159
756	495	158
757	495	158
758	496	157
759	496	156
760	497	156
761	498	155
762	498	154
763	499	154
764	500	153
765	500	152
766	501	152
767	501	151
768	502	150
769	502	150
770	503	149
771	504	148
772	504	148
773	505	147
774	505	146
775	506	146
776	507	145
777	507	144
778	508	144
779	508	143
780	509	142
781	510	142
782	510	141
783	511	140
784	511	140
785	512	139
786	513	138
787	513	138
788	514	137
789	514	136
790	515	136
791	515	135
792	516	134
793	516	134
794	517	133
795	517	132
796	518	132
797	519	131
798	520	130
799	520	130
800	521	129
801	522	128
802	522	128
803	523	127
804	523	126
805	524	126
806	525	125
807	525	124
808	526	124
809	526	123
810	527	122
811	527	122
812	528	121
813	529	120
814	529	120
815	530	119
816	530	118
817	531	118
818	531	117
819	532	116
820	533	116
821	533	115
822	534	114
823	535	114
824	535	113
825	536	112
826	536	112
827	537	111
828	538	111
829	538	110
830	539	109
831	539	109
832	540	108
833	540	107
834	541	107
835	542	106
836	542	105
837	543	105
838	543	104
839	544	103
840	545	103
841	545	102
842	546	101
843	547	101
844	548	100
845	549	99
846	549	99
847	550	98
848	550	97
849	551	97
850	551	96
851	552	95
852	553	95
853	553	94
854	554	94
855	554	93
856	555	92
857	556	92
858	556	91
859	557	90
860	557	90
861	558	89
862	559	88
863	559	88
864	560	87
865	560	86
866	561	86
867	562	85
868	562	84
869	563	84
870	563	83
871	564	82
872	564	82
873	565	81
874	566	80
875	566	80
876	567	79
877	568	78
